rank,symbol,name,price,percent_change_24h,percent_change_7d,percent_change_30d,market_cap,volume_24h,galaxy_score,galaxy_score_previous,alt_rank,alt_rank_previous,social_volume_24h,social_dominance,market_dominance,sentiment,signal
"22","CHR","Chromia","0.01525165243692552","-1.868945670295","-5.792896812552","-34.114857408871","14942731","1233494.24","71.6","62","2265","817","150","0.04202587112626533","0.0006820744189948984","94","hold"
"23","SUSDE","Ethena Staked USDe","1.2345508057514827","0.007290695933","0.06783007478","0.288482774285","1869381170.1","2131706.76","71.5","28","1340","1607","7","0.0019612073192257153","0.08532958770896437","","hold"
"24","SOMI","SomniaOFT","0.10935983525728475","-3.615387250276","-1.823077604588","-34.221546731038","17712334","8040760.05","70.8","42","2700","1134","77","0.02157328051148287","0.0008084954431752526","83","hold"
"25","TIA","Celestia","0.3299652024435963","-3.002474036151","3.673783872157","-22.084526300748","309872687","26536769.66","70.4","57","2041","23","2459","0.6889441139965763","0.014144417974727177","85","hold"
"26","TEL","Telcoin","0.0024151633275534263","0.592101872131","-2.501320691243","-25.034381679617","229744925","843209.97","70","51","143","937","674","0.18883624759401887","0.010486914087953636","52","hold"
"27","YELLOW","YELLOW","0.059764","-0.4880710481453686","12.7889560928045","","11590360","774407","70","80","1835","369","53","0.014849141131280415","0.000529052424415705","78","hold"
"28","GOMINING","Gomining Token","0.278693","2.35518865365835","6.903025263181199","","112654578","10636189","69.7","75","288","402","45","0.0126077613378796","0.005142219707794075","92","hold"
"29","CREPE","CREPE","0.00001443","15.106389266872819","28.385337080382143","","9959519","462172","69.7","56","13","390","307","0.08601294957175637","0.0004546112176812694","78","buy"
"30","WBTC","Wrapped Bitcoin","63881.81894127603","-0.256882627809","3.24505604222","-19.061778377011","9351180560.98","72008754.93","69.5","57","1444","392","119","0.03334052442683716","0.4268430615559379","47","hold"
"31","ZEC","Zcash","420.07276018565494","1.931986868731","-1.82088383924","-19.856406385741","7119947555","503179063.75","69.1","52","29","656","2486","0.6965087707993041","0.32499642079153884","74","buy"
"32","SHIB","Shiba Inu","0.000004880254297728041","-1.698670335937","4.040677519871","-19.907125133634","2894296282","64996922.99","68.9","60","1755","36","1447","0.4054095701313729","0.13211276137837485","82","hold"
"33","FET","Fetch","0.19821392078919325","-2.155179560945","-6.056539249691","-2.368054771356","455398238","157837709.85","68.8","82","1891","8","561","0.15717675801223235","0.020787062859871495","72","hold"
"34","GOAT","Goatseus Maximus","0.013276536894463783","-1.259180348832","0.830259833708","-34.805727178027","13424602","5567413.93","68.8","46","1801","312","325","0.09105605410690822","0.0006127780530471807","44","hold"
"35","PONKE","PONKE","0.025536491705174053","-0.805381626996","-1.762770477657","-36.017698444251","14304108","1418048.28","68.2","50","1774","337","178","0.04987070040316819","0.000652923896799071","20","hold"
"36","EIGEN","EigenCloud","0.19016738873188274","2.378068020124","7.595078378341","-6.262899404278","150428282.98","28852735.8","68.1","33","83","140","173","0.04846983803229268","0.006870139310536486","21","hold"
"37","RIF","Rootstock Infrastructure Framework","0.1023379952951089","4.958777851159","54.848473249659","33.216240754428","102337995.3","28906827.46","67.1","79","20","43","293","0.08209053493330494","0.004659831076041112","65","buy"
"38","FT","Flying Tulip","0.098802","-0.12139236068454946","0.4983606433822887","","121288393","120727","67","67","1504","1297","788","0.22077590964998053","0.005536317972015952","96","hold"
