src,target_raw,reason
4D-Vault/ر/Welcome.md,create a link,wikilink_target_not_found
4D-Vault/07-تحلیل-پژوهش/سنتز-SOG-جامع.md,shadow-observability,wikilink_target_not_found
4D-Vault/07-تحلیل-پژوهش/سنتز-SOG-جامع.md,self-model-gain,wikilink_target_not_found
4D-Vault/07-تحلیل-پژوهش/سنتز-SOG-جامع.md,private-control-channel,wikilink_target_not_found
4D-Vault/07-تحلیل-پژوهش/سنتز-SOG-جامع.md,epistemic-asymmetry,wikilink_target_not_found
4D-Vault/07-تحلیل-پژوهش/سنتز-SOG-جامع.md,temporal-identifiability,wikilink_target_not_found
4D-Vault/07-تحلیل-پژوهش/سنتز-SOG-جامع.md,censoring-not-dropping,wikilink_target_not_found
4D-Vault/07-تحلیل-پژوهش/سنتز-SOG-جامع.md,null-model-pressure,wikilink_target_not_found
4D-Vault/07-تحلیل-پژوهش/سنتز-SOG-جامع.md,leakage-budget,wikilink_target_not_found
4D-Vault/07-تحلیل-پژوهش/سنتز-SOG-جامع.md,mode-stability,wikilink_target_not_found
4D-Vault/07-تحلیل-پژوهش/سنتز-SOG-جامع.md,dual-track-evaluator,wikilink_target_not_found
4D-Vault/07-تحلیل-پژوهش/سنتز-SOG-جامع.md,reflection-gate,wikilink_target_not_found
4D-Vault/07-تحلیل-پژوهش/سنتز-SOG-جامع.md,shadow-orchestrator,wikilink_target_not_found
4D-Vault/07-تحلیل-پژوهش/سنتز-SOG-جامع.md,first-person-router,wikilink_target_not_found
4D-Vault/07-تحلیل-پژوهش/سنتز-SOG-جامع.md,epistemic-censor,wikilink_target_not_found
4D-Vault/07-تحلیل-پژوهش/سنتز-SOG-جامع.md,reflective-dither-regulator,wikilink_target_not_found
4D-Vault/07-تحلیل-پژوهش/سنتز-SOG-جامع.md,provenance-dither,wikilink_target_not_found
4D-Vault/07-تحلیل-پژوهش/سنتز-SOG-جامع.md,temporal-shadow-tomography,wikilink_target_not_found
4D-Vault/07-تحلیل-پژوهش/سنتز-SOG-جامع.md,counterfactual-self-surgery,wikilink_target_not_found
4D-Vault/07-تحلیل-پژوهش/سنتز-SOG-جامع.md,adversarial-shadow-firewall,wikilink_target_not_found
4D-Vault/07-تحلیل-پژوهش/سنتز-SOG-جامع.md,mode-locked-stabilizer,wikilink_target_not_found
4D-Vault/07-تحلیل-پژوهش/سنتز-SOG-جامع.md,censored-consensus,wikilink_target_not_found
4D-Vault/07-تحلیل-پژوهش/سنتز-SOG-جامع.md,null-model-rejection,wikilink_target_not_found
4D-Vault/07-تحلیل-پژوهش/سنتز-SOG-جامع.md,hypotheses-sog,wikilink_target_not_found
4D-Vault/06-منابع-داده/داده-مصنوعی.md,null model,wikilink_target_not_found
4D-Vault/03-فلسفه/اصل-۳-سطح.md,کاتالوگ-سایه‌ها,wikilink_target_not_found
4D-Vault/01-مفاهیم-ریاضی/E-shadow.md,برداشت_من_از_دو_فایل,wikilink_target_not_found
4D-Vault/00-MOC/MOC-خودتنظیم‌گری-و-خودآگاهی.md,Governor,wikilink_target_not_found
4D-Vault/00-MOC/MOC-خودتنظیم‌گری-و-خودآگاهی.md,PulseCore,wikilink_target_not_found
4D-Vault/00-MOC/MOC-خودتنظیم‌گری-و-خودآگاهی.md,MycoCardium,wikilink_target_not_found
4D-Vault/00-MOC/MOC-خودتنظیم‌گری-و-خودآگاهی.md,Shadow Catalog,wikilink_target_not_found
4D-Vault/00-MOC/MOC-خودتنظیم‌گری-و-خودآگاهی.md,نگاشتِ صحیح — ضربان، velocity و تورمِ gauge,wikilink_target_not_found
4D-Vault/00-MOC/MOC-خودتنظیم‌گری-و-خودآگاهی.md,Synthesis اولیه — همریختیِ سه‌سیستمی و پرامپتِ خوداگاهی,wikilink_target_not_found
4D-Vault/00-MOC/MOC-خودتنظیم‌گری-و-خودآگاهی.md,"KB — Emotion, Intuition, Collective Feeling v1.0",wikilink_target_not_found
4D-Vault/00-MOC/MOC-خودتنظیم‌گری-و-خودآگاهی.md,SOG,wikilink_target_not_found
4D-Vault/00-MOC/MOC-خودتنظیم‌گری-و-خودآگاهی.md,TLI,wikilink_target_not_found
4D-Vault/00-MOC/MOC-خودتنظیم‌گری-و-خودآگاهی.md,Shadow Catalog,wikilink_target_not_found
4D-Vault/00-MOC/MOC-فلسفه.md,کاتالوگ-سایه‌ها,wikilink_target_not_found
09-LANES/UNLOCK-REVIEW-20260908/DOMAIN-CONNECTION-PROPOSAL.md,OWNER-DECISION-D0-PRIMARY-20260908.json,wikilink_target_not_found
09-LANES/UNLOCK-REVIEW-20260908/LANE-REPORT.md,DOMAIN-EXECUTION-STEP3-FINAL.json,wikilink_target_not_found
09-LANES/UNLOCK-REVIEW-20260908/LANE-REPORT.md,TLS-POLL-LOG.jsonl,wikilink_target_not_found
09-LANES/UNLOCK-REVIEW-20260908/LANE-REPORT.md,OWNER-DECISION-D0-PRIMARY-20260908.json,wikilink_target_not_found
09-LANES/UNLOCK-REVIEW-20260908/LANE-REPORT.md,OWNER-DECISION-D0-PRIMARY-20260908.json,wikilink_target_not_found
09-LANES/UNLOCK-REVIEW-20260908/LANE-REPORT.md,DOMAIN-EVIDENCE-20260908.json,wikilink_target_not_found
09-LANES/U-WHY-NOT-LIVE-20260905/DIAGNOSIS.md,09-LANES/U-WHY-NOT-LIVE-20260905/HOST-PROBE-20260905.json,wikilink_target_not_found
09-LANES/U-WHY-NOT-LIVE-20260905/DIAGNOSIS.md,09-LANES/U-WHY-NOT-LIVE-20260905/B-SAFE-RESTORE-RECEIPT.json,wikilink_target_not_found
09-LANES/U-WHY-NOT-LIVE-20260905/DIAGNOSIS.md,09-LANES/U-WHY-NOT-LIVE-20260905/CAUSE-OF-LOOP-DEATH.json,wikilink_target_not_found
